Helység.megnevezése;IRSZ;Településrész;Helység.KSH.kódja;Helység.jogállása;Vármegye.megnevezése;Járás.kódja;Járás.neve;Járás.székhelye;Polgármesteri.hivatal..közös.önkormányzati.hivatal.kódja;Polgármesteri.hivatal..közös.önkormányzati.hivatal.székhelye;Terület...hektár.;Lakó.népesség;Lakások.száma;Becsült.terület.adatokkal;NemzetisegiOnkormanyzat_bolgár;NemzetisegiOnkormanyzat_görög;NemzetisegiOnkormanyzat_horvát;NemzetisegiOnkormanyzat_lengyel;NemzetisegiOnkormanyzat_német;NemzetisegiOnkormanyzat_örmény;NemzetisegiOnkormanyzat_roma;NemzetisegiOnkormanyzat_román;NemzetisegiOnkormanyzat_ruszin;NemzetisegiOnkormanyzat_szerb;NemzetisegiOnkormanyzat_szlovák;NemzetisegiOnkormanyzat_szlovén;NemzetisegiOnkormanyzat_ukrán
Mándok;4644;;17826;város;Szabolcs-Szatmár-Bereg;160 0;Záhonyi;Záhony;1;–;2891;3648;1442;;;;;;;;1;;;;;;
Mánfa;7304;;33923;község;Baranya;026 0;Komlói;Komló;5;Komló;2770;736;321;;;;;;;;1;;;;;;
Mány;2065;;23490;község;Fejér;077 0;Bicskei;Bicske;1;–;4472;2392;896;;;;;;1;;1;;;;;;
Maráza;7733;;29920;község;Baranya;027 0;Mohácsi;Mohács;5;Himesháza;970;168;92;;;;;;1;;;;;;;;
Marcalgergelyi;9534;;29294;község;Veszprém;187 0;Pápai;Pápa;5;Nemesszalók;776;356;168;;;;;;;;;;;;;;
Marcali;8700;;18500;város;Somogy;144 1;Marcali;Marcali;2;[Helyben];10440;10373;5214;;;;;;1;;1;;;;;;
Marcali;8709;Horvátkút;18500;város;Somogy;144 1;Marcali;Marcali;2;[Helyben];10440;10373;5214;;;;;;1;;1;;;;;;
Marcali;8714;Bize;18500;város;Somogy;144 1;Marcali;Marcali;2;[Helyben];10440;10373;5214;;;;;;1;;1;;;;;;
Marcaltő;8531;Ihász;22220;község;Veszprém;187 0;Pápai;Pápa;5;Csót;2208;730;335;;;;;;;;;;;;;;
Marcaltő;8532;;22220;község;Veszprém;187 0;Pápai;Pápa;5;Csót;2208;730;335;;;;;;;;;;;;;;
Márfa;7817;;09450;község;Baranya;031 0;Siklósi;Siklós;5;Nagyharsány;409;184;75;;;;;;;;;;;;;;
Máriahalom;2527;;22637;község;Komárom-Esztergom;110 0;Esztergomi;Esztergom;5;Dág;1084;653;284;;;;;;1;;;;;;;;
Máriakálnok;9231;;12283;község;Győr-Moson-Sopron;089 0;Mosonmagyaróvári;Mosonmagyaróvár;5;Halászi;1548;2074;784;;;;;;;;;;;;;;
Máriakéménd;7663;;14483;község;Baranya;024 0;Bólyi;Bóly;5;Szederkény;1578;542;220;;;;;;1;;1;;;;;;
Márianosztra;2629;;04570;község;Pest;137 0;Szobi;Szob;2;[Helyben];2027;925;376;;;;;;;;;;;;;;
Máriapócs;4326;;19655;város;Szabolcs-Szatmár-Bereg;156 0;Nyírbátori;Nyírbátor;2;[Helyben];2208;1826;677;;;;;;;;1;;1;;;;
Markaz;3262;;16540;község;Heves;106 0;Gyöngyösi;Gyöngyös;2;[Helyben];2561;1736;957;;;;;;;;;;;;;;
Márkháza;3075;;14641;község;Nógrád;120 0;Salgótarjáni;Salgótarján;5;Lucfalva;631;219;109;;;;;;;;1;;;;;;
Márkó;8441;;32212;község;Veszprém;191 0;Veszprémi;Veszprém;2;[Helyben];3441;1790;623;;;;;;1;;;;;;;;
Markóc;7967;;16443;község;Baranya;030 0;Sellyei;Sellye;5;Sellye;579;62;32;;;;;;;;;;;;;;
Markotabödöge;9164;;06770;község;Győr-Moson-Sopron;086 0;Csornai;Csorna;5;Kóny;1629;503;232;;;;;;;;;;;;;;
Maróc;8888;;02103;község;Zala;195 0;Letenyei;Letenye;5;Bázakerettye;516;54;70;;;;;;;;;;;;;;
Marócsa;7960;;15219;község;Baranya;030 0;Sellyei;Sellye;5;Sellye;1138;73;45;;;;;;;;;;;;;;
Márok;7774;;20659;község;Baranya;031 0;Siklósi;Siklós;5;Nagyharsány;1593;372;183;;;;;;1;;;;;;;;
Márokföld;8976;;31981;község;Zala;194 0;Lenti;Lenti;5;Csesztreg;744;66;35;;;;;;;;;;;;;;
Márokpapi;4932;;33224;község;Szabolcs-Szatmár-Bereg;159 0;Vásárosnaményi;Vásárosnamény;5;Tarpa;2118;496;211;;;;;;;;;;;;;;
Maroslele;6921;;10515;község;Csongrád-Csanád;073 0;Makói;Makó;1;–;4656;2079;926;;;;;;;;;;;;;;
Mártély;6636;;25733;község;Csongrád-Csanád;071 0;Hódmezővásárhelyi;Hódmezővásárhely;5;Hódmezővásárhely;3646;1281;575;;;;;;;;;;;;;;
Martfű;5435;;02626;város;Jász-Nagykun-Szolnok;167 0;Szolnoki;Szolnok;1;–;2308;5498;2935;;;;;;;;;;;;;;
Martonfa;7720;;02228;község;Baranya;029 0;Pécsváradi;Pécsvárad;5;Pécsvárad;569;203;91;;;;;;;;;;;;;;
Martonvásár;2462;;04659;város;Fejér;081 1;Martonvásári;Martonvásár;1;–;3125;5944;2157;;;;;;;;;;;;;;
Martonyi;3755;;02024;község;Borsod-Abaúj-Zemplén;055 0;Edelényi;Edelény;5;Szalonna;1757;292;180;;;;;;;;1;;;;;;
Mátészalka;4700;;18874;város;Szabolcs-Szatmár-Bereg;154 1;Mátészalkai;Mátészalka;1;–;4140;14848;7162;;;;;;1;;1;1;;;;;
Mátételke;6452;;27809;község;Bács-Kiskun;034 0;Bácsalmási;Bácsalmás;5;Bácsalmás;2795;449;278;;;;;;;;;;;;;;
Mátraballa;3247;;19965;község;Heves;109 0;Pétervásárai;Pétervására;5;Mátraderecske;2636;646;424;;;;;;;;;;;;;;
Mátraderecske;3246;;14872;község;Heves;109 0;Pétervásárai;Pétervására;2;[Helyben];1399;1624;1006;;;;;;;;1;;;;;;
Mátramindszent;3155;;20075;község;Nógrád;117 0;Bátonyterenyei;Bátonyterenye;2;[Helyben];1673;684;425;;;;;;;;1;;;;;;
Mátranovák;3144;Bányatelep;19372;község;Nógrád;117 0;Bátonyterenyei;Bátonyterenye;5;Mátraterenye;2697;1527;1042;;;;;;;;;;;;;;
Mátranovák;3143;;19372;község;Nógrád;117 0;Bátonyterenyei;Bátonyterenye;5;Mátraterenye;2697;1527;1042;;;;;;;;;;;;;;
Mátraszele;3142;;24332;község;Nógrád;120 0;Salgótarjáni;Salgótarján;2;[Helyben];1697;871;465;;;;;;;;;;;;;;
Mátraszentimre;3234;Galyatető;29045;község;Heves;106 0;Gyöngyösi;Gyöngyös;5;Gyöngyössolymos;2129;462;326;;;;;;;;;;;;1;;
Mátraszentimre;3235;;29045;község;Heves;106 0;Gyöngyösi;Gyöngyös;5;Gyöngyössolymos;2129;462;326;;;;;;;;;;;;1;;
Mátraszőlős;3068;;04330;község;Nógrád;118 0;Pásztói;Pásztó;2;[Helyben];2917;1425;663;;;;;;;;1;;;;;;
Mátraterenye;3145;Homokterenye;33525;község;Nógrád;117 0;Bátonyterenyei;Bátonyterenye;2;[Helyben];2813;1591;872;;;;;;;;1;;;;;;
Mátraterenye;3146;Nádújfalu;33525;község;Nógrád;117 0;Bátonyterenyei;Bátonyterenye;2;[Helyben];2813;1591;872;;;;;;;;1;;;;;;
Mátraverebély;3077;;30100;község;Nógrád;117 0;Bátonyterenyei;Bátonyterenye;2;[Helyben];1840;1626;811;;;;;;;;1;;;;;;
Mátyásdomb;8134;;16948;község;Fejér;079 0;Enyingi;Enying;5;Mezőszentgyörgy;3539;727;279;;;;;;;;;;;;;;
Matty;7854;;15051;község;Baranya;031 0;Siklósi;Siklós;5;Siklós;1690;326;140;;;;;;;;1;;;;;;
Mátyus;4835;;20668;község;Szabolcs-Szatmár-Bereg;159 0;Vásárosnaményi;Vásárosnamény;5;Tiszakerecseny;1103;266;130;;;;;;;;;;;;;;
Máza;7351;;33756;község;Baranya;026 0;Komlói;Komló;5;Egyházaskozár;1069;1089;485;;;;;;1;;1;;;;;;
Mecseknádasd;7695;;13444;község;Baranya;029 0;Pécsváradi;Pécsvárad;2;[Helyben];3608;1449;666;;;;;;1;;;;;;;;
Mecsekpölöske;7305;;11402;község;Baranya;026 0;Komlói;Komló;5;Magyarhertelend;731;375;156;;;;;;;;;;;;;;
Mecsér;9176;;27359;község;Győr-Moson-Sopron;089 0;Mosonmagyaróvári;Mosonmagyaróvár;5;Lébény;2110;672;305;;;;;;;;;;;;;;
Medgyesbodzás;5664;Gábortelep;20765;község;Békés;049 0;Mezőkovácsházai;Mezőkovácsháza;5;Nagykamarás;3167;805;533;;;;;;;;;;;;;;
Medgyesbodzás;5663;;20765;község;Békés;049 0;Mezőkovácsházai;Mezőkovácsháza;5;Nagykamarás;3167;805;533;;;;;;;;;;;;;;
Medgyesegyháza;5666;;30128;város;Békés;049 0;Mezőkovácsházai;Mezőkovácsháza;1;–;6429;3122;1806;;;;;;;;1;1;;;1;;
Medgyesegyháza;5752;Bánkút;30128;város;Békés;049 0;Mezőkovácsházai;Mezőkovácsháza;1;–;6429;3122;1806;;;;;;;;1;1;;;1;;
Medina;7057;;30562;község;Tolna;173 0;Szekszárdi;Szekszárd;5;Kölesd;2224;668;327;;;;;;;;1;;;1;;;
Megyaszó;3718;;21768;község;Borsod-Abaúj-Zemplén;066 0;Szerencsi;Szerencs;2;[Helyben];5342;2498;828;;;;;;;;1;;;;;;
Megyehíd;9754;;30872;község;Vas;179 0;Sárvári;Sárvár;5;Ikervár;599;299;122;;;;;;;;;;;;;;
Megyer;8348;;04987;község;Veszprém;188 0;Sümegi;Sümeg;5;Gógánfa;426;25;25;;;;;;;;;;;;;;
Meggyeskovácsi;9757;;25760;község;Vas;179 0;Sárvári;Sárvár;5;Nyőgér;2464;723;340;;;;;;;;;;;;;;
Meggyeskovácsi;9764;Ilonapuszta;25760;község;Vas;179 0;Sárvári;Sárvár;5;Nyőgér;2464;723;340;;;;;;;;;;;;;;
Méhkerék;5726;;23931;község;Békés;051 0;Sarkadi;Sarkad;1;–;2585;1870;843;;;;;;;;1;1;;;;;
Méhtelek;4975;;29799;község;Szabolcs-Szatmár-Bereg;150 0;Fehérgyarmati;Fehérgyarmat;5;Garbolc;863;640;274;;;;;;;;1;;;;;;
Mekényes;7344;;30492;község;Baranya;025 0;Hegyháti;Sásd;5;Mágocs;1777;240;137;;;;;;;;;;;;;;
Mélykút;6449;;16018;város;Bács-Kiskun;036 0;Jánoshalmai;Jánoshalma;1;–;12347;4594;2678;;;;;;;;1;;;;;;
Mencshely;8271;;27137;község;Veszprém;191 0;Veszprémi;Veszprém;5;Nagyvázsony;1261;295;137;;;;;;;;;;;;;;
Mende;2235;;03692;község;Pest;131 0;Nagykátai;Nagykáta;1;–;2715;4250;1523;;;;;;;;1;;;;;;
Méra;3871;;25618;község;Borsod-Abaúj-Zemplén;056 0;Encsi;Encs;2;[Helyben];1512;1396;562;;;;;;;;1;;;;;;
Merenye;7981;;07737;község;Baranya;033 0;Szigetvári;Szigetvár;5;Nagydobsza;1447;243;122;;;;;;;;;;;;;;
Mérges;9136;;20385;község;Győr-Moson-Sopron;092 0;Téti;Tét;5;Tét;651;96;53;;;;;;;;;;;;;;
Mérk;4352;;07463;nagyközség;Szabolcs-Szatmár-Bereg;154 0;Mátészalkai;Mátészalka;2;[Helyben];2508;1911;785;;;;;;1;;1;;;;;;
Mernye;7453;;23630;község;Somogy;143 0;Kaposvári;Kaposvár;2;[Helyben];2593;1315;544;;;;;;;;;;;;;;
Mersevát;9531;;14809;község;Vas;176 0;Celldömölki;Celldömölk;5;Celldömölk;1054;568;236;;;;;;;;;;;;;;
Mesterháza;9662;;31875;község;Vas;179 0;Sárvári;Sárvár;5;Bő;419;152;78;;;;;;;;;;;;;;
Mesteri;9551;;15723;község;Vas;176 0;Celldömölki;Celldömölk;5;Celldömölk;1169;260;150;;;;;;;;;;;;;;
Mesterszállás;5452;;30234;község;Jász-Nagykun-Szolnok;166 0;Mezőtúri;Mezőtúr;5;Mezőtúr;4292;635;373;;;;;;;;;;;;;;
Meszes;3754;;11758;község;Borsod-Abaúj-Zemplén;055 0;Edelényi;Edelény;5;Szalonna;1140;151;117;;;;;;;;;;;;;;
Meszlen;9745;;32832;község;Vas;181 0;Szombathelyi;Szombathely;5;Nemesbőd;1202;195;96;;;;;;;;;;;;;;
Mesztegnyő;8716;;16106;község;Somogy;144 0;Marcali;Marcali;2;[Helyben];4471;1248;556;;;;;;;;1;;;;;;
Mezőberény;5650;;19628;város;Békés;045 0;Békési;Békés;1;–;11853;9301;4456;;;;;;1;;1;;;;1;;
Mezőcsát;3450;;13833;város;Borsod-Abaúj-Zemplén;059 1;Mezőcsáti;Mezőcsát;2;[Helyben];10309;5578;2400;;;;;;;;1;;;;;;
Mezőcsokonya;7434;;30854;község;Somogy;143 0;Kaposvári;Kaposvár;5;Somogysárd;3078;1150;444;;;;;;;;1;;;;;;
Meződ;7370;;03470;község;Baranya;025 0;Hegyháti;Sásd;5;Sásd;1041;114;67;;;;;;;;;;;;;;
Mezőfalva;2422;;17552;nagyközség;Fejér;078 0;Dunaújvárosi;Dunaújváros;1;–;8042;4447;1845;;;;;;1;;1;;;;;;
Mezőgyán;5732;;04206;község;Békés;051 0;Sarkadi;Sarkad;5;Kötegyán;5987;807;468;;;;;;;;1;;;;;;
Mezőhegyes;5820;;11873;város;Békés;049 0;Mezőkovácsházai;Mezőkovácsháza;1;–;15544;4173;2833;;;;;;;;;;;;;;
Mezőhék;5453;;26286;község;Jász-Nagykun-Szolnok;166 0;Mezőtúri;Mezőtúr;5;Mezőtúr;8982;302;168;;;;;;;;;;;;;;
Mezőkeresztes;3441;;11323;város;Borsod-Abaúj-Zemplén;060 0;Mezőkövesdi;Mezőkövesd;1;–;7426;3459;1615;;;;;;;;;;;;;;
Mezőkomárom;8137;;05689;község;Fejér;079 0;Enyingi;Enying;5;Mezőszentgyörgy;2905;830;401;;;;;;;;;;;;;;
Mezőkovácsháza;5800;;30322;város;Békés;049 1;Mezőkovácsházai;Mezőkovácsháza;1;–;6259;5251;2870;;;;;;;;1;1;;;;;
Mezőkövesd;3400;;19433;város;Borsod-Abaúj-Zemplén;060 1;Mezőkövesdi;Mezőkövesd;2;[Helyben];10049;15413;7645;;;;;;;;1;;;;;;
Mezőladány;4641;;32656;község;Szabolcs-Szatmár-Bereg;153 0;Kisvárdai;Kisvárda;2;[Helyben];1407;902;338;;;;;;;;1;;;;;;
Mezőlak;8514;;23560;község;Veszprém;187 0;Pápai;Pápa;5;Nemesgörzsöny;2157;901;391;;;;;;;;;;;;;;
Mezőnagymihály;3443;;18379;község;Borsod-Abaúj-Zemplén;060 0;Mezőkövesdi;Mezőkövesd;5;Szentistván;6186;913;490;;;;;;;;;;;;;;
Mezőnyárád;3421;;11749;község;Borsod-Abaúj-Zemplén;060 0;Mezőkövesdi;Mezőkövesd;2;[Helyben];1406;1503;689;;;;;;;;;;;;;;
Mezőörs;9097;;12812;község;Győr-Moson-Sopron;087 0;Győri;Győr;5;Pér;4848;957;351;;;;;;;;;;;;;;
Mezőörs;9098;Mindszentpuszta;12812;község;Győr-Moson-Sopron;087 0;Győri;Győr;5;Pér;4848;957;351;;;;;;;;;;;;;;
Mezőpeterd;4118;;31033;község;Hajdú-Bihar;094 0;Berettyóújfalui;Berettyóújfalu;5;Körösszegapáti;1823;540;262;;;;;;;;1;1;;;;;
Mezősas;4134;;18847;község;Hajdú-Bihar;094 0;Berettyóújfalui;Berettyóújfalu;5;Körösszegapáti;2639;598;290;;;;;;;;1;1;;;;;
Mezőszemere;3378;;25089;község;Heves;105 0;Füzesabonyi;Füzesabony;5;Szihalom;2148;1026;576;;;;;;;;1;;;;;;
Mezőszentgyörgy;8133;;06576;község;Fejér;079 0;Enyingi;Enying;2;[Helyben];2712;1234;448;;;;;;;;1;;;;;;
Mezőszilas;7017;;29036;község;Fejér;084 0;Sárbogárdi;Sárbogárd;2;[Helyben];6497;2004;810;;;;;;;;1;;;;;;
Mezőtárkány;3375;;31662;község;Heves;105 0;Füzesabonyi;Füzesabony;2;[Helyben];4061;1483;656;;;;;;;;1;;;;;;
Mezőtúr;5400;;04260;város;Jász-Nagykun-Szolnok;166 1;Mezőtúri;Mezőtúr;2;[Helyben];28972;15257;7736;;;;;;;;1;;;;;;
Mezőzombor;3931;;03443;község;Borsod-Abaúj-Zemplén;066 0;Szerencsi;Szerencs;1;–;3879;2202;838;;;;;;;;1;;;;;;
Miháld;8825;;27526;község;Zala;196 0;Nagykanizsai;Nagykanizsa;5;Nagyrécse;2164;668;347;;;;;;;;;;;;;;
Mihályfa;8341;;02130;község;Zala;198 0;Zalaszentgróti;Zalaszentgrót;5;Óhíd;1207;339;176;;;;;;;;;;;;;;
Mihálygerge;3184;;13222;község;Nógrád;120 0;Salgótarjáni;Salgótarján;2;[Helyben];1106;490;282;;;;;;;;;;;;;;
Mihályháza;8513;;04668;község;Veszprém;187 0;Pápai;Pápa;5;Nemesszalók;2152;671;309;;;;;;;;;;;;;;
Mihályi;9342;;21980;község;Győr-Moson-Sopron;088 0;Kapuvári;Kapuvár;2;[Helyben];1628;1041;461;;;;;;;;;;;;;;
Mike;7512;;20905;község;Somogy;143 0;Kaposvári;Kaposvár;2;[Helyben];3241;561;243;;;;;;;;1;;;;;;
Mikebuda;2736;;24466;község;Pest;124 0;Ceglédi;Cegléd;5;Albertirsa;4217;685;313;;;;;;;;;;;;;;
Mikekarácsonyfa;8949;;22141;község;Zala;194 0;Lenti;Lenti;5;Csömödér;850;318;138;;;;;;;;;;;;;;
Mikepércs;4271;;24217;község;Hajdú-Bihar;096 0;Derecskei;Derecske;1;–;3693;5362;1883;;;;;;;;1;;;;;;
Miklósi;8669;;33376;község;Somogy;147 0;Tabi;Tab;5;Törökkoppány;1047;174;123;;;;;;1;;;;;;;;
Mikófalva;3344;;31282;község;Heves;103 0;Bélapátfalvai;Bélapátfalva;5;Balaton;1441;625;314;;;;;;;;;;;;;;
Mikóháza;3989;;24253;község;Borsod-Abaúj-Zemplén;065 0;Sátoraljaújhelyi;Sátoraljaújhely;2;[Helyben];1691;487;240;;;;;;;;;;;;1;;
Mikosszéplak;9835;;30599;község;Vas;182 0;Vasvári;Vasvár;5;Kám;1866;298;150;;;;;;;;;;;;;;
Milejszeg;8917;;02662;község;Zala;197 0;Zalaegerszegi;Zalaegerszeg;5;Gellénháza;908;300;144;;;;;;;;;;;;;;
Milota;4948;;31750;község;Szabolcs-Szatmár-Bereg;150 0;Fehérgyarmati;Fehérgyarmat;5;Tiszakóród;1539;865;313;;;;;;;;1;;;;;;
Mindszent;6630;;21555;város;Csongrád-Csanád;071 0;Hódmezővásárhelyi;Hódmezővásárhely;1;–;5935;6209;3153;;;;;;;;1;;;;;;
Mindszentgodisa;7391;;16285;község;Baranya;025 0;Hegyháti;Sásd;2;[Helyben];2297;681;343;;;;;;1;;1;;;;;;
Mindszentkálla;8282;;04534;község;Veszprém;189 0;Tapolcai;Tapolca;5;Kővágóörs;1084;250;141;;;;;;;;;;;;;;
Misefa;8935;;04756;község;Zala;197 0;Zalaegerszegi;Zalaegerszeg;5;Nagykapornak;651;256;122;;;;;;;;;;;;;;
Miske;6343;;30632;község;Bács-Kiskun;037 0;Kalocsai;Kalocsa;2;[Helyben];4227;1509;696;;;;;;1;;1;;;;1;;
Miskolc;3500;;30456;megyeszékhely, megyei jogú város;Borsod-Abaúj-Zemplén;061 1;Miskolci;Miskolc;1;–;23667;141440;79234;;1;1;;1;1;1;1;;1;;1;;1
Miskolc;3525;;30456;megyeszékhely, megyei jogú város;Borsod-Abaúj-Zemplén;061 1;Miskolci;Miskolc;1;–;23667;141440;79234;;1;1;;1;1;1;1;;1;;1;;1
Miskolc;3528;;30456;megyeszékhely, megyei jogú város;Borsod-Abaúj-Zemplén;061 1;Miskolci;Miskolc;1;–;23667;141440;79234;;1;1;;1;1;1;1;;1;;1;;1
Miskolc;3530;;30456;megyeszékhely, megyei jogú város;Borsod-Abaúj-Zemplén;061 1;Miskolci;Miskolc;1;–;23667;141440;79234;;1;1;;1;1;1;1;;1;;1;;1
Miskolc;3535;;30456;megyeszékhely, megyei jogú város;Borsod-Abaúj-Zemplén;061 1;Miskolci;Miskolc;1;–;23667;141440;79234;;1;1;;1;1;1;1;;1;;1;;1
Miskolc;3533;;30456;megyeszékhely, megyei jogú város;Borsod-Abaúj-Zemplén;061 1;Miskolci;Miskolc;1;–;23667;141440;79234;;1;1;;1;1;1;1;;1;;1;;1
Miskolc;3517;;30456;megyeszékhely, megyei jogú város;Borsod-Abaúj-Zemplén;061 1;Miskolci;Miskolc;1;–;23667;141440;79234;;1;1;;1;1;1;1;;1;;1;;1
Miskolc;3515;;30456;megyeszékhely, megyei jogú város;Borsod-Abaúj-Zemplén;061 1;Miskolci;Miskolc;1;–;23667;141440;79234;;1;1;;1;1;1;1;;1;;1;;1
Miskolc;3558;;30456;megyeszékhely, megyei jogú város;Borsod-Abaúj-Zemplén;061 1;Miskolci;Miskolc;1;–;23667;141440;79234;;1;1;;1;1;1;1;;1;;1;;1
Miskolc;3529;;30456;megyeszékhely, megyei jogú város;Borsod-Abaúj-Zemplén;061 1;Miskolci;Miskolc;1;–;23667;141440;79234;;1;1;;1;1;1;1;;1;;1;;1
Miskolc;3516;;30456;megyeszékhely, megyei jogú város;Borsod-Abaúj-Zemplén;061 1;Miskolci;Miskolc;1;–;23667;141440;79234;;1;1;;1;1;1;1;;1;;1;;1
Miskolc;3501;;30456;megyeszékhely, megyei jogú város;Borsod-Abaúj-Zemplén;061 1;Miskolci;Miskolc;1;–;23667;141440;79234;;1;1;;1;1;1;1;;1;;1;;1
Miskolc;3526;;30456;megyeszékhely, megyei jogú város;Borsod-Abaúj-Zemplén;061 1;Miskolci;Miskolc;1;–;23667;141440;79234;;1;1;;1;1;1;1;;1;;1;;1
Miskolc;3521;;30456;megyeszékhely, megyei jogú város;Borsod-Abaúj-Zemplén;061 1;Miskolci;Miskolc;1;–;23667;141440;79234;;1;1;;1;1;1;1;;1;;1;;1
Miskolc;3534;;30456;megyeszékhely, megyei jogú város;Borsod-Abaúj-Zemplén;061 1;Miskolci;Miskolc;1;–;23667;141440;79234;;1;1;;1;1;1;1;;1;;1;;1
Miskolc;3531;;30456;megyeszékhely, megyei jogú város;Borsod-Abaúj-Zemplén;061 1;Miskolci;Miskolc;1;–;23667;141440;79234;;1;1;;1;1;1;1;;1;;1;;1
Miskolc;3519;;30456;megyeszékhely, megyei jogú város;Borsod-Abaúj-Zemplén;061 1;Miskolci;Miskolc;1;–;23667;141440;79234;;1;1;;1;1;1;1;;1;;1;;1
Miskolc;3532;;30456;megyeszékhely, megyei jogú város;Borsod-Abaúj-Zemplén;061 1;Miskolci;Miskolc;1;–;23667;141440;79234;;1;1;;1;1;1;1;;1;;1;;1
Miskolc;3508;;30456;megyeszékhely, megyei jogú város;Borsod-Abaúj-Zemplén;061 1;Miskolci;Miskolc;1;–;23667;141440;79234;;1;1;;1;1;1;1;;1;;1;;1
Miskolc;3524;;30456;megyeszékhely, megyei jogú város;Borsod-Abaúj-Zemplén;061 1;Miskolci;Miskolc;1;–;23667;141440;79234;;1;1;;1;1;1;1;;1;;1;;1
Miskolc;3527;;30456;megyeszékhely, megyei jogú város;Borsod-Abaúj-Zemplén;061 1;Miskolci;Miskolc;1;–;23667;141440;79234;;1;1;;1;1;1;1;;1;;1;;1
Miskolc;3518;;30456;megyeszékhely, megyei jogú város;Borsod-Abaúj-Zemplén;061 1;Miskolci;Miskolc;1;–;23667;141440;79234;;1;1;;1;1;1;1;;1;;1;;1
Miszla;7065;;02811;község;Tolna;174 0;Tamási;Tamási;5;Gyönk;3472;252;174;;;;;;;;;;;;;;
Mocsa;2911;;26930;község;Komárom-Esztergom;112 0;Komáromi;Komárom;2;[Helyben];6719;2106;827;;;;;;;;;;;;;;
Mogyoród;2146;;17783;nagyközség;Pest;128 0;Gödöllői;Gödöllő;1;–;3449;8436;3348;;;;;;;;1;1;;;;;
Mogyorósbánya;2535;;28255;község;Komárom-Esztergom;110 0;Esztergomi;Esztergom;5;Nyergesújfalu;732;866;333;;;;;;;;;;;;1;;
Mogyoróska;3893;;10968;község;Borsod-Abaúj-Zemplén;057 0;Gönci;Gönc;5;Telkibánya;1917;77;113;;;;;;;;;;;;;;
Moha;8042;;25715;község;Fejér;085 0;Székesfehérvári;Székesfehérvár;5;Sárkeresztes;988;566;260;;;;;;;;;;;;;;
Mohács;7700;;23959;város;Baranya;027 1;Mohácsi;Mohács;1;–;11223;17054;8531;;;;1;;1;;1;;;1;;;
Mohács;7714;Újmohács;23959;város;Baranya;027 1;Mohácsi;Mohács;1;–;11223;17054;8531;;;;1;;1;;1;;;1;;;
Mohács;7715;Sárhát;23959;város;Baranya;027 1;Mohácsi;Mohács;1;–;11223;17054;8531;;;;1;;1;;1;;;1;;;
Mohora;2698;;27915;község;Nógrád;116 0;Balassagyarmati;Balassagyarmat;5;Cserhátsurány;1595;889;367;;;;;;;;1;;;;;;
Molnári;8863;;21014;község;Zala;195 0;Letenyei;Letenye;5;Semjénháza;1286;597;263;;;;1;;;;;;;;;;
Molnaszecsőd;9912;;03294;község;Vas;177 0;Körmendi;Körmend;2;[Helyben];1169;416;183;;;;;;;;;;;;;;
Molvány;7981;;29522;község;Baranya;033 0;Szigetvári;Szigetvár;5;Nagydobsza;1376;152;82;;;;;;;;;;;;;;
Monaj;3812;;09016;község;Borsod-Abaúj-Zemplén;067 0;Szikszói;Szikszó;5;Homrogd;1153;256;99;;;;;;;;;;;;;;
Monok;3905;;07825;község;Borsod-Abaúj-Zemplén;066 0;Szerencsi;Szerencs;5;Rátka;4196;1430;766;;;;;;;;1;;;;;;
Monor;2200;;10551;város;Pest;130 1;Monori;Monor;1;–;4679;19355;7097;;;;;;;;1;1;;;;;
Monorierdő;2213;;34397;község;Pest;130 0;Monori;Monor;1;–;1507;5107;1943;;;;;;;;1;;;;;;
Mónosbél;3345;;31565;község;Heves;103 0;Bélapátfalvai;Bélapátfalva;5;Bélapátfalva;1378;395;143;;;;;;;;;;;;;;
Monostorapáti;8296;;24040;község;Veszprém;189 0;Tapolcai;Tapolca;2;[Helyben];2554;1061;486;;;;;;;;1;;;;;;
Monostorpályi;4275;;25894;község;Hajdú-Bihar;096 0;Derecskei;Derecske;1;–;4444;2130;941;;;;;;;;;;;;;;
Monoszló;8273;;22512;község;Veszprém;185 0;Balatonfüredi;Balatonfüred;5;Zánka;746;96;64;;;;;;;;;;;;;;
Monyoród;7751;;16027;község;Baranya;024 0;Bólyi;Bóly;5;Szederkény;712;171;93;;;;;;;;;;;;;;
Mór;8060;;18485;város;Fejér;082 1;Móri;Mór;1;–;10861;13256;5762;;;;;;1;;1;;;;;;
Mórágy;7165;;20701;község;Tolna;170 0;Bonyhádi;Bonyhád;5;Bonyhád;1761;622;296;;;;;;1;;1;;;;;;
Mórahalom;6782;;04349;város;Csongrád-Csanád;074 1;Mórahalmi;Mórahalom;1;–;8315;6432;2868;;;;;;;;;;;;;;
Móricgát;6132;;34096;község;Bács-Kiskun;042 0;Kiskunmajsai;Kiskunmajsa;5;Jászszentlászló;3289;397;289;;;;;;;;;;;;;;
Mórichida;9131;;02556;község;Győr-Moson-Sopron;092 0;Téti;Tét;5;Gyarmat;3230;803;351;;;;;;;;;;;;;;
Mosdós;7257;;31343;község;Somogy;143 0;Kaposvári;Kaposvár;5;Baté;1695;827;324;;;;;;;;1;;;;;;
Mosonmagyaróvár;9200;;04783;város;Győr-Moson-Sopron;089 1;Mosonmagyaróvári;Mosonmagyaróvár;1;–;8378;33743;16665;;;;;;1;;1;;;;;1;
